end_date,profit_dedt,n_cashflow_act,total_cur_liab,total_ncl,total_assets,total_revenue,oper_cost,total_cur_assets,ts_code
20220331,35064641.37,-423270236.26,3611054688.55,3530292467.7,13870823731.35,1788906674.75,1481360361.29,8495626999.83,002683.SZ
20211231,101150715.04000002,797558324.5500001,4666645950.98,2529235611.96,13944380178.97,2740430882.4800005,2166414284.87,8515154181.0,002683.SZ
20210930,120202639.64000002,178931049.39000005,4083605659.8,2439776388.4,13131713768.04,2234026892.3999996,1779669795.0500002,8011652882.66,002683.SZ
20220930,21309878.049999982,146578678.39,3855526315.25,762863024.29,10816601827.1,1765844065.5700002,1477978386.1100001,6427653402.81,000969.SZ
20220630,49684871.29000001,111319394.61000001,3763940792.32,770206112.83,10700711887.95,1919829327.96,1614409488.72,6306536693.31,000969.SZ
20220331,82597611.11,-238876879.49,3447852651.74,766388875.15,10343446764.65,2032493260.73,1704216776.05,5921661541.62,000969.SZ
20211231,-32423119.050000012,555040098.67,3484915346.11,614677951.4,10128890803.83,1478630891.92,1249764842.8300004,5651708764.62,000969.SZ
20210930,34032092.870000005,160014295.78,3340897609.22,614738083.45,9770514388.3,1692820558.6800003,1431877856.4099998,5337836986.68,000969.SZ
20220930,65872886.68000001,177723389.17999998,1085496186.05,898703013.37,5281741289.69,791344650.44,649640971.1600001,3324970155.78,603585.SH
20220630,99456334.52,230202357.83,995818274.68,861953681.03,5076387587.26,848590382.12,653600309.9799999,3443825621.08,603585.SH
20220331,96993480.29,6653878.88,907887943.68,799217218.62,4819476288.77,794738969.86,580421775.87,3320270006.2,603585.SH
20211231,98259116.85999998,128120232.86000001,1153770461.87,18394993.51,3871812905.97,715723832.9299998,513491728.0700002,2406656060.81,603585.SH
20210930,40105030.16,72169212.08,877704309.26,16326461.14,3514310412.04,601713613.19,493274544.05999994,2131105836.25,603585.SH
20220930,984442714.4199998,2206914588.04,2589270696.37,413298491.03,18064644374.12,2770325079.67,1475255453.2900004,12178543971.04,002821.SZ
20220630,1212412052.88,427175316.52,2831030076.09,416829278.78,17834031346.0,2979541320.33,1541948254.6499999,12104374308.97,002821.SZ
20220331,486390519.38,204607061.83,2491414488.95,384070747.82,16389663097.9,2061708856.14,1128892034.57,11060432081.38,002821.SZ
20211231,339133312.34000003,-232288795.78999996,2204806672.76,341479273.16,15156297270.34,1715848147.6,972607236.9100001,10310396863.27,002821.SZ
20210930,243520622.51999998,-134979890.23000002,1530827860.44,320334194.49,8431492625.42,1162798950.1699998,639607101.9,4246147110.62,002821.SZ
20220930,272317952.68999994,-1001567694.3700001,5545501173.96,1470158892.51,15820718574.03,2663859101.5300007,2170925512.7800007,6887158602.63,000902.SZ
20220630,504455995.53999996,1484280869.0500002,4957578579.44,1409712627.66,15344281974.69,5072433834.91,4188068747.9399996,7543570570.0,000902.SZ
20220331,406102684.64,506869336.13,4100061899.91,1239093791.14,14020152341.94,4544603907.73,3759997932.05,6704300003.56,000902.SZ
